Date,Exc50,Pav50,Exc90,Pav90,Exc10,Pav10,Avg,Basin
2024-02-27,994.917,81.305,752.503,61.495,1485.081,121.362,1223.681,KGF
2024-02-27,229.715,81.363,157.7,55.856,334.278,118.398,282.333,KWT
2024-02-27,68.714,114.037,39.472,65.507,126.259,209.538,60.256,SCC
2024-02-27,383.146,84.267,282.014,62.024,562.004,123.603,454.684,KRI
2024-02-27,244.593,96.73,147.504,58.334,359.616,142.219,252.861,TRF
2024-02-27,50.103,92.792,40.827,75.613,65.499,121.306,53.995,WFC
2024-02-27,163.852,87.259,122.483,65.228,234.138,124.69,187.776,EFC
2024-02-27,131.537,82.102,106.777,66.648,165.294,103.173,160.211,WWR
2024-02-27,50.956,81.738,29.163,46.78,84.426,135.427,62.34,EWR
2024-03-01,612.943,97.602,431.639,68.732,954.972,152.065,628.003,TNL
2024-03-01,281.751,95.375,193.937,65.65,469.848,159.048,295.413,SDT
2024-03-01,515.55,136.485,419.695,111.109,716.376,189.651,377.734,MSS
2024-03-01,969.448,98.211,802.64,81.312,1311.576,132.87,987.109,PSH
2024-03-01,1261.915,73.132,1035.431,60.006,1891.963,109.645,1725.54,SIS
2024-03-01,2433.732,101.464,1809.166,75.425,3762.469,156.86,2398.615,SBB
2024-03-01,2094.015,125.731,1489.227,89.418,3257.073,195.564,1665.475,FTO
2024-03-01,1109.915,114.042,730.928,75.102,1714.371,176.149,973.251,YRS
2024-03-01,1256.549,102.762,847.766,69.331,2094.681,171.305,1222.78,AMF
2024-03-01,113.358,88.321,67.061,52.249,255.679,199.208,128.347,CSN
2024-03-01,467.055,100.381,323.094,69.44,665.143,142.955,465.282,MKM
2024-03-01,639.476,92.396,440.715,63.678,949.542,137.197,692.103,SNS
2024-03-01,952.846,78.337,736.784,60.574,1423.014,116.991,1216.343,TLG
2024-03-01,500.487,79.526,378.745,60.182,775.42,123.212,629.337,MRC
2024-03-01,1063.501,85.881,831.675,67.16,1552.332,125.355,1238.349,SJF
2024-03-01,1009.676,82.511,831.878,67.982,1411.09,115.315,1223.681,KGF
2024-03-01,233.411,82.672,168.16,59.561,331.425,117.388,282.333,KWT
2024-03-01,68.152,113.104,42.279,70.165,125.139,207.679,60.256,SCC
2024-03-01,386.834,85.078,292.443,64.318,523.292,115.089,454.684,KRI
2024-03-01,257.315,101.761,154.581,61.133,353.413,139.766,252.861,TRF
2024-03-01,51.064,94.571,43.522,80.605,64.713,119.85,53.995,WFC
2024-03-01,168.291,89.623,128.787,68.586,228.088,121.468,187.776,EFC
2024-03-01,133.264,83.18,107.608,67.167,164.591,102.734,160.211,WWR
2024-03-01,51.274,82.248,29.441,47.225,84.676,135.829,62.34,EWR
2024-03-04,597.039,95.069,422.959,67.35,970.352,154.514,628.003,TNL
2024-03-04,272.033,92.086,189.438,64.127,468.197,158.489,295.413,SDT
2024-03-04,511.463,135.403,410.764,108.744,701.094,185.605,377.734,MSS
2024-03-04,938.412,95.067,797.422,80.784,1305.883,132.294,987.109,PSH
2024-03-04,1255.867,72.781,1035.433,60.006,1880.49,108.98,1725.54,SIS
2024-03-04,2436.206,101.567,1811.027,75.503,3751.941,156.421,2398.615,SBB
2024-03-04,2052.319,123.227,1462.657,87.822,3238.188,194.43,1665.475,FTO
2024-03-04,1060.039,108.917,688.819,70.775,1699.012,174.571,973.251,YRS
2024-03-04,1198.0,97.973,800.162,65.438,2053.055,167.901,1222.78,AMF
2024-03-04,111.488,86.864,65.944,51.38,254.398,198.21,128.347,CSN
2024-03-04,449.967,96.708,303.618,65.255,638.887,137.312,465.282,MKM
2024-03-04,587.856,84.938,403.245,58.264,959.056,138.571,692.103,SNS
2024-03-04,852.061,70.051,653.475,53.725,1338.944,110.079,1216.343,TLG
2024-03-04,448.191,71.216,317.567,50.46,726.85,115.495,629.337,MRC
2024-03-04,994.006,80.269,753.813,60.872,1496.347,120.834,1238.349,SJF
2024-03-04,866.91,70.844,678.109,55.416,1359.514,111.1,1223.681,KGF
2024-03-04,198.309,70.239,153.082,54.22,299.271,105.999,282.333,KWT
2024-03-04,62.928,104.435,37.988,63.045,123.267,204.573,60.256,SCC
2024-03-04,355.594,78.207,282.981,62.237,545.021,119.868,454.684,KRI
2024-03-04,248.491,98.272,148.636,58.782,351.945,139.185,252.861,TRF
2024-03-04,50.835,94.148,42.849,79.358,66.698,123.527,53.995,WFC
2024-03-04,165.304,88.033,124.181,66.133,233.06,124.116,187.776,EFC
2024-03-04,129.594,80.89,105.489,65.844,163.341,101.954,160.211,WWR
2024-03-04,50.912,81.668,30.104,48.29,82.345,132.09,62.34,EWR
2024-03-12,560.182,89.201,420.305,66.927,824.458,131.283,628.003,TNL
2024-03-12,254.249,86.066,187.179,63.362,462.35,156.51,295.413,SDT
2024-03-12,455.773,120.66,384.329,101.746,695.039,184.002,377.734,MSS
2024-03-12,830.944,84.18,737.621,74.725,1135.735,115.057,987.109,PSH
2024-03-12,1190.672,69.003,1006.035,58.303,1785.162,103.455,1725.54,SIS
2024-03-12,2228.772,92.919,1715.208,71.508,3567.177,148.718,2398.615,SBB
2024-03-12,1811.507,108.768,1397.997,83.94,3119.332,187.294,1665.475,FTO
2024-03-12,942.734,96.864,643.182,66.086,1623.459,166.808,973.251,YRS
2024-03-12,1024.089,83.751,731.852,59.851,2012.744,164.604,1222.78,AMF
2024-03-12,93.478,72.832,60.628,47.237,235.198,183.251,128.347,CSN
2024-03-12,393.128,84.492,293.542,63.089,601.971,129.378,465.282,MKM
2024-03-12,551.167,79.637,379.126,54.779,916.183,132.377,692.103,SNS
2024-03-12,801.441,65.889,599.293,49.27,1209.872,99.468,1216.343,TLG
2024-03-12,393.985,62.603,303.555,48.234,703.931,111.853,629.337,MRC
2024-03-12,880.317,71.088,709.103,57.262,1415.403,114.298,1238.349,SJF
2024-03-12,808.887,66.103,611.212,49.949,1255.706,102.617,1223.681,KGF
2024-03-12,173.706,61.525,139.219,49.31,276.33,97.874,282.333,KWT
2024-03-12,47.976,79.621,29.386,48.769,99.755,165.553,60.256,SCC
2024-03-12,320.363,70.458,266.969,58.715,451.785,99.362,454.684,KRI
2024-03-12,202.976,80.272,147.675,58.402,334.629,132.337,252.861,TRF
2024-03-12,48.561,89.936,39.667,73.465,58.368,108.1,53.995,WFC
2024-03-12,156.916,83.566,123.141,65.579,211.873,112.833,187.776,EFC
2024-03-12,128.899,80.456,106.18,66.275,154.552,96.468,160.211,WWR
